(328042,328243),2023_1_126_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(328243,332258),2023_1_127_members.txt,members,SPD,Maja 
(332258,332319),2023_1_128_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(332319,332700),2023_1_129_members.txt,members,SPD,Maja 
(332700,344488),2023_1_130_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(344488,348982),2023_1_131_members.txt,members,SPD,Bengt 
(348982,349043),2023_1_132_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(349043,349721),2023_1_133_members.txt,members,SPD,Bengt 
(349721,349788),2023_1_134_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(349788,350006),2023_1_135_members.txt,members,SPD,Bengt 
(350006,354009),2023_1_136_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(354009,357570),2023_1_137_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(357570,360796),2023_1_138_members.txt,members,SPD,Dirk 
(360796,364217),2023_1_139_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(364217,367606),2023_1_140_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(367606,367711),2023_1_141_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(367711,371301),2023_1_142_members.txt,members,AfD,Stephan 
(371301,371461),2023_1_143_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(371461,375187),2023_1_144_members.txt,members,FDP,Stephan 
(375187,375317),2023_1_145_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(375317,377925),2023_1_146_members.txt,members,DIE LINKE,Gesine 
(377925,383947),2023_1_147_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(383947,384196),2023_1_148_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(384196,384464),2023_1_149_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(384464,389989),2023_1_150_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(389989,390157),2023_1_151_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(390157,396155),2023_1_152_members.txt,members,SPD,Frank 
(396155,396277),2023_1_153_protocol.txt,protocol,Vizepräsident,in Petra Pau
(396277,403111),2023_1_154_members.txt,members,AfD,Norbert 
(403111,403278),2023_1_155_protocol.txt,protocol,Vizepräsident,in Petra Pau
(403278,408887),2023_1_156_members.txt,members,FDP,Konstantin 
(408887,408994),2023_1_157_protocol.txt,protocol,Vizepräsident,in Petra Pau
(408994,414112),2023_1_158_members.txt,members,DIE LINKE,Andrej 
(414112,419927),2023_1_159_protocol.txt,protocol,Vizepräsident,in Petra Pau
(419927,425365),2023_1_160_protocol.txt,protocol,Vizepräsident,in Petra Pau
(425365,430934),2023_1_161_protocol.txt,protocol,Vizepräsident,in Petra Pau
(430934,431083),2023_1_162_protocol.txt,protocol,Vizepräsident,in Petra Pau
(431083,436510),2023_1_163_members.txt,members,FDP,Christoph 
(436510,442022),2023_1_164_protocol.txt,protocol,Vizepräsident,in Petra Pau
(442022,448056),2023_1_165_protocol.txt,protocol,Vizepräsident,in Petra Pau
(448056,448841),2023_1_166_protocol.txt,protocol,Vizepräsident,in Petra Pau
(448841,454457),2023_1_167_govt.txt,govt,Parl. Staatssekretär bei der
Bundesministerin für Bildung und Forschung,Mario Brandenburg
(454457,459586),2023_1_168_protocol.txt,protocol,Vizepräsident,in Petra Pau
(459586,459752),2023_1_169_protocol.txt,protocol,Vizepräsident,in Petra Pau
(459752,464230),2023_1_170_members.txt,members,SPD,Holger 
(464230,464352),2023_1_171_protocol.txt,protocol,Vizepräsident,in Petra Pau
(464352,468494),2023_1_172_members.txt,members,AfD,Michael 
(468494,468551),2023_1_173_protocol.txt,protocol,Vizepräsident,in Petra Pau
(468551,468645),2023_1_174_members.txt,members,AfD,Michael 
(468645,472681),2023_1_175_protocol.txt,protocol,Vizepräsident,in Petra Pau
(472681,472790),2023_1_176_protocol.txt,protocol,Vizepräsident,in Petra Pau
(472790,476417),2023_1_177_members.txt,members,DIE LINKE,Petra 
(476417,476597),2023_1_178_protocol.txt,protocol,Vizepräsident,in Petra Pau
(476597,481860),2023_1_179_members.txt,members,SPD,Oliver 
(481860,485708),2023_1_180_protocol.txt,protocol,Vizepräsident,in Petra Pau
(485708,490382),2023_1_181_protocol.txt,protocol,Vizepräsident,in Petra Pau
